Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,type,district,area_comfort
108000.0,1.0,2160.0,2.0,25.0,2019.0,50.0,30.0,10.0,Осокорська,вулиця,Дарницький,10.0
108000.0,1.0,2160.0,2.0,25.0,2019.0,50.0,30.0,10.0,Осокорська,вулиця,Дарницький,10.0
113300.0,3.0,1218.0,15.0,21.0,2010.0,93.0,55.0,11.0,Осокорська,вулиця,Дарницький,27.0
50700.0,1.0,1300.0,6.0,14.0,2019.0,39.0,25.0,8.0,Максимовича,вулиця,Святошинський,6.0
79700.0,1.0,2952.0,23.0,23.0,2012.0,27.0,15.0,5.0,Максимовича,вулиця,Святошинський,7.0
74000.0,1.0,1762.0,3.0,16.0,2010.0,42.0,37.0,14.0,Максимовича,вулиця,Святошинський,-9.0
138000.0,2.0,2300.0,13.0,14.0,2017.0,60.0,30.0,10.0,Максимовича,вулиця,Святошинський,20.0
109000.0,3.0,1253.0,7.0,16.0,2010.0,87.0,37.0,14.0,Максимовича,вулиця,Святошинський,36.0
89000.0,2.0,1413.0,12.0,14.0,2013.0,63.0,37.0,11.0,Максимовича,вулиця,Святошинський,15.0
95000.0,3.0,1234.0,16.0,25.0,2017.0,77.0,45.0,12.0,Максимовича,вулиця,Святошинський,20.0
475000.0,3.0,5000.0,3.0,13.0,2017.0,95.0,66.0,13.0,Максимовича,вулиця,Святошинський,16.0
127900.0,2.0,1776.0,13.0,24.0,2017.0,72.0,35.0,17.0,Максимовича,вулиця,Святошинський,20.0
92000.0,3.0,965.0,1.0,25.0,2010.0,68.5,48.0,16.0,Ясинуватський,провулок,Голосіївський,4.5
97000.0,2.0,1260.0,16.0,22.0,2018.0,77.0,37.0,14.0,Ясинуватський,провулок,Голосіївський,26.0
480000.0,4.0,2609.0,5.0,6.0,1915.0,184.0,108.0,34.0,Велика Васильківська,вулиця,"Голосіївський, Шевченківський, Печерський",42.0
135000.0,4.0,1688.0,5.0,5.0,1959.0,80.0,55.0,15.0,Велика Васильківська,вулиця,"Голосіївський, Шевченківський, Печерський",10.0
170000.0,3.0,2068.0,4.0,5.0,1910.0,68.5,37.0,14.0,Велика Васильківська,вулиця,"Голосіївський, Шевченківський, Печерський",17.5
55000.0,1.0,1618.0,5.0,33.0,2010.0,34.0,37.0,9.0,Велика Васильківська,вулиця,"Голосіївський, Шевченківський, Печерський",-12.0
115000.0,2.0,2170.0,7.0,7.0,1961.0,53.0,35.0,14.0,Велика Васильківська,вулиця,"Голосіївський, Шевченківський, Печерський",4.0
170000.0,2.0,2656.0,5.0,7.0,1948.0,64.0,37.0,9.0,Велика Васильківська,вулиця,"Голосіївський, Шевченківський, Печерський",18.0
86860.0,2.0,905.0,10.0,10.0,2017.0,96.0,44.0,23.0,Центральна,вулиця,Дніпровський,29.0
86860.0,2.0,905.0,10.0,10.0,2017.0,96.0,44.0,23.0,Центральна,вулиця,Оболонський,29.0
86860.0,2.0,905.0,10.0,10.0,2017.0,96.0,44.0,23.0,Центральна,вулиця,Шевченківський,29.0
69000.0,1.0,1643.0,8.0,10.0,2018.0,42.0,12.0,20.0,Центральна,вулиця,Дніпровський,10.0
69000.0,1.0,1643.0,8.0,10.0,2018.0,42.0,12.0,20.0,Центральна,вулиця,Оболонський,10.0
69000.0,1.0,1643.0,8.0,10.0,2018.0,42.0,12.0,20.0,Центральна,вулиця,Шевченківський,10.0
55000.0,2.0,1222.0,13.0,16.0,1980.0,45.0,37.0,11.0,Райдужна,вулиця,Дніпровський,-3.0
78000.0,2.0,1696.0,5.0,11.0,2018.0,46.0,20.0,20.0,Райдужна,вулиця,Дніпровський,6.0
138000.0,2.0,1811.0,3.0,15.0,2014.0,68.5,37.0,14.0,Ломоносова,вулиця,Голосіївський,17.5
105000.0,2.0,1504.0,4.0,25.0,2014.0,68.5,37.0,14.0,Гусовського,вулиця,Печерський,17.5
66016.1,1.0,1784.2,8.0,19.0,2010.0,37.0,37.0,14.0,Гусовського,вулиця,Печерський,-14.0
284000.0,2.0,2812.0,7.0,11.0,2004.0,101.0,37.0,14.0,Гусовського,вулиця,Печерський,50.0
61000.0,1.0,1743.0,8.0,9.0,1974.0,35.0,17.0,6.0,Гусовського,вулиця,Печерський,12.0
49899.0,1.0,1386.0,1.0,9.0,1978.0,36.0,18.0,7.0,Багговутівська,вулиця,Шевченківський,11.0
165000.0,4.0,1213.0,11.0,12.0,2019.0,136.0,100.0,30.0,Багговутівська,вулиця,Шевченківський,6.0
100000.0,1.0,2273.0,3.0,11.0,2019.0,44.0,37.0,10.0,Багговутівська,вулиця,Шевченківський,-3.0
85000.0,2.0,1312.0,17.0,25.0,2010.0,68.5,38.0,14.0,Багговутівська,вулиця,Шевченківський,16.5
70000.0,2.0,1273.0,4.0,5.0,1938.0,55.0,39.0,8.0,Багговутівська,вулиця,Шевченківський,8.0
70000.0,2.0,1167.0,7.0,12.0,2019.0,60.0,26.0,14.0,Багговутівська,вулиця,Шевченківський,20.0
75000.0,2.0,1250.0,4.0,5.0,1938.0,60.0,45.0,9.0,Багговутівська,вулиця,Шевченківський,6.0
185000.0,3.0,1745.0,8.0,25.0,2016.0,106.0,37.0,38.0,Героїв Севастополя,вулиця,Солом'янський,31.0
48700.0,1.0,991.0,19.0,25.0,2010.0,68.5,37.0,14.0,Балтійський,провулок,Оболонський,17.5
49700.0,1.0,1012.0,19.0,25.0,2020.0,68.5,18.0,18.0,Балтійський,провулок,Оболонський,32.5
380000.0,3.0,1990.0,15.0,47.0,2012.0,191.0,37.0,14.0,Балтійський,провулок,Оболонський,140.0
63000.0,2.0,808.0,22.0,25.0,2010.0,78.0,36.0,12.0,Балтійський,провулок,Оболонський,30.0
63500.0,2.0,814.0,22.0,25.0,2010.0,78.0,36.0,12.0,Балтійський,провулок,Оболонський,30.0
54500.0,1.0,996.0,23.0,25.0,2010.0,68.5,37.0,12.0,Балтійський,провулок,Оболонський,19.5
40000.0,1.0,995.0,14.0,25.0,2010.0,68.5,37.0,12.0,Балтійський,провулок,Оболонський,19.5
130000.0,2.0,2600.0,1.0,5.0,1964.0,50.0,37.0,12.0,Німанська,вулиця,Печерський,1.0
62000.0,2.0,1378.0,2.0,5.0,1968.0,45.0,30.0,7.0,Німанська,вулиця,Печерський,8.0
31000.0,1.0,1107.0,9.0,9.0,1986.0,28.0,13.0,6.0,Берковецька,вулиця,Святошинський,9.0
41187.0,1.0,936.0,3.0,13.0,2010.0,44.0,19.0,11.0,Берковецька,вулиця,Святошинський,14.0
740000.0,1.0,2772.0,20.0,24.0,2019.0,267.0,150.0,75.0,Антоновича,вулиця,"Голосіївський, Печерський",42.0
250000.0,3.0,1538.0,10.0,22.0,2001.0,68.5,50.0,20.0,Антоновича,вулиця,"Голосіївський, Печерський",-1.5
225000.0,2.0,4500.0,8.0,23.0,2019.0,50.0,37.0,14.0,Антоновича,вулиця,"Голосіївський, Печерський",-1.0
66500.0,3.0,1023.0,5.0,9.0,1978.0,65.0,42.0,8.0,Антоновича,вулиця,"Голосіївський, Печерський",15.0
290000.0,1.0,6444.0,22.0,24.0,2019.0,45.0,12.0,18.0,Антоновича,вулиця,"Голосіївський, Печерський",15.0
90000.0,2.0,1562.0,8.0,19.0,2010.0,68.5,37.0,14.0,Антоновича,вулиця,"Голосіївський, Печерський",17.5
493000.0,4.0,4287.0,12.0,24.0,2019.0,115.0,80.0,20.0,Антоновича,вулиця,"Голосіївський, Печерський",15.0
232000.0,3.0,1706.0,11.0,13.0,2014.0,136.0,70.0,14.0,Антоновича,вулиця,"Голосіївський, Печерський",52.0
499000.0,2.0,4990.0,22.0,25.0,2019.0,100.0,37.0,14.0,Антоновича,вулиця,"Голосіївський, Печерський",49.0
320000.0,2.0,3232.0,13.0,24.0,2019.0,99.0,47.0,13.0,Антоновича,вулиця,"Голосіївський, Печерський",39.0
126000.0,2.0,1658.0,15.0,32.0,2020.0,76.0,41.0,14.0,Микільсько-Слобідська,вулиця,Дніпровський,21.0
152000.0,2.0,1949.0,14.0,30.0,2020.0,78.0,37.0,12.0,Микільсько-Слобідська,вулиця,Дніпровський,29.0
100000.0,3.0,1000.0,8.0,17.0,2003.0,100.0,64.0,14.0,Олевська,вулиця,Святошинський,22.0
120000.0,3.0,1237.0,2.0,21.0,2016.0,97.0,52.0,20.0,Освіти,вулиця,Солом'янський,25.0
87000.0,3.0,915.0,9.0,19.0,2019.0,68.5,52.0,14.0,Ушинського,провулок,Солом'янський,2.5
87000.0,3.0,915.0,9.0,19.0,2019.0,68.5,52.0,14.0,Ушинського,вулиця,Солом'янський,2.5
63900.0,1.0,761.0,13.0,14.0,2013.0,84.0,44.0,18.0,Ушинського,провулок,Солом'янський,22.0
63900.0,1.0,761.0,13.0,14.0,2013.0,84.0,44.0,18.0,Ушинського,вулиця,Солом'янський,22.0
185000.0,3.0,1637.0,8.0,24.0,2007.0,113.0,37.0,14.0,Урлівська,вулиця,Дарницький,62.0
118000.0,2.0,1573.0,16.0,22.0,2010.0,75.0,32.0,12.0,Урлівська,вулиця,Дарницький,31.0
114900.0,3.0,1197.0,12.0,22.0,2006.0,96.0,47.0,14.0,Урлівська,вулиця,Дарницький,35.0
105000.0,3.0,1117.0,6.0,22.0,2010.0,94.0,47.0,15.0,Урлівська,вулиця,Дарницький,32.0
49860.0,2.0,997.0,2.0,9.0,1974.0,50.0,30.0,6.0,Світлицького,вулиця,Подільський,14.0
59000.0,2.0,1283.0,3.0,5.0,1965.0,46.0,37.0,14.0,Світлицького,вулиця,Подільський,-5.0
95000.0,1.0,2568.0,5.0,11.0,1967.0,37.0,22.0,7.0,Глибочицька,вулиця,Шевченківський,8.0
100000.0,2.0,1562.0,8.0,20.0,2010.0,64.0,31.0,18.0,Глибочицька,вулиця,Шевченківський,15.0
98000.0,1.0,1661.0,16.0,24.0,2010.0,59.0,18.0,14.0,Глибочицька,вулиця,Шевченківський,27.0
67000.0,1.0,1675.0,9.0,23.0,2010.0,40.0,37.0,12.0,Глибочицька,вулиця,Шевченківський,-9.0
